route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
49-2256,GLINE_2-S1-Sa-Saturday-03,57943359-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943360-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943361-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943362-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943363-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943364-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943365-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943366-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943367-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943368-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943369-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943370-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943371-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943372-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943373-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943374-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943375-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421888,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943376-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943377-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943378-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943379-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943380-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943381-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943382-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943383-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943384-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943385-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421887,S1-Sa03-49-n1-0
49-2256,GLINE_2-S1-Sa-Saturday-03,57943386-GLINE_2-S1-Sa-Saturday-03,"to University District",0,6421889,S1-Sa03-49-n1-0
