route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10-2254,GLINE_2-S1-Wk-Weekday-05,57939972-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421825,S1-Wk05-10-s1-1
10-2254,GLINE_2-S1-Wk-Weekday-05,57939973-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-10-s1-1
10-2254,GLINE_2-S1-Wk-Weekday-05,57939974-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-10-s1-1
10-2254,GLINE_2-S1-Wk-Weekday-05,57939975-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-10-s1-1
10-2254,GLINE_2-S1-Wk-Weekday-05,57939976-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421825,S1-Wk05-10-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939977-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939978-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939979-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939980-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421825,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939981-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939982-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939983-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939984-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421825,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939985-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939986-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939987-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939988-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421825,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939989-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939990-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939991-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939992-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421825,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939993-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939994-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939995-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939996-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421825,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939997-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939998-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57939999-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421825,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940000-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940001-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940002-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940003-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421825,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940004-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940005-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940006-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421823,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940007-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421825,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940008-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421824,S1-Wk05-12-s1-1
12-2254,GLINE_2-S1-Wk-Weekday-05,57940009-GLINE_2-S1-Wk-Weekday-05,"to Downtown Seattle",1,6421826,S1-Wk05-12-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940010-GLINE_2-S1-Wk-Weekday-05,"to Broadway",0,6421836,S1-Wk05-60-n2-0
60-2254,GLINE_2-S1-Wk-Weekday-05,57940011-GLINE_2-S1-Wk-Weekday-05,"to Broadway",0,6421842,S1-Wk05-60-n1-0
60-2254,GLINE_2-S1-Wk-Weekday-05,57940012-GLINE_2-S1-Wk-Weekday-05,"to Broadway",0,6421837,S1-Wk05-60-n1-0
60-2254,GLINE_2-S1-Wk-Weekday-05,57940015-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421839,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940016-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421833,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940017-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421842,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940018-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421841,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940019-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421832,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940022-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421841,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940023-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421842,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940024-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421837,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940025-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421837,S1-Wk05-60-s1-1
60-2254,GLINE_2-S1-Wk-Weekday-05,57940027-GLINE_2-S1-Wk-Weekday-05,"to Westwood Village",1,6421834,S1-Wk05-60-s1-1
