stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_x_coord,stop_y_coord,zone_id,stop_url,location_type,parent_station
21320,,"Delridge Way SW / SW Barton St",,  47.520876,-122.358210,1263658.0,193732.2,,,0,
2180,,"Queen Anne Ave N / W Harrison St",,  47.621837,-122.356730,1264752.6,230544.7,,,0,
2200,,"Queen Anne Ave N / W John St",,  47.619213,-122.356750,1264728.8,229588.0,,,0,
22184,,"Delridge Way SW / SW Henderson St",,  47.523250,-122.360256,1263169.6,194607.9,,,0,
22252,,"Delridge Way SW / SW Henderson St",,  47.522500,-122.359772,1263283.8,194332.2,,,0,
22253,,"Delridge Way SW / SW Barton St",,  47.520821,-122.358265,1263644.0,193712.4,,,0,
2244,,"Denny Way / 2nd Ave",,  47.618529,-122.351708,1265966.9,229314.0,,,0,
2245,,"Denny Way / 5th Ave N",,  47.618575,-122.347869,1266913.9,229312.1,,,0,
2247,,"Denny Way / 6th Ave N",,  47.618563,-122.345129,1267589.5,229294.4,,,0,
2250,,"Denny Way / Dexter Ave N",,  47.618553,-122.342542,1268227.3,229278.1,,,0,
2255,,"Denny Way / Westlake Ave",,  47.618535,-122.338219,1269293.1,229250.9,,,0,
2260,,"Denny Way / Fairview Ave N",,  47.618533,-122.334564,1270194.4,229232.4,,,0,
2262,,"Denny Way / Pontius Aly N",,  47.618498,-122.330916,1271093.6,229202.3,,,0,
2275,,"E Denny Way / Bellevue Ave",,  47.618555,-122.326542,1272172.6,229201.9,,,0,
2285,,"Denny Way / Fairview Ave",,  47.618533,-122.334211,1270281.4,229230.8,,,0,
2291,,"Denny Way / Westlake Ave N",,  47.618598,-122.338807,1269148.7,229276.6,,,0,
2295,,"Denny Way / 7th Aly",,  47.618551,-122.342157,1268322.2,229275.7,,,0,
2297,,"Denny Way / Vine St",,  47.618626,-122.345611,1267471.1,229319.6,,,0,
2300,,"Denny Way / 5th Ave N",,  47.618575,-122.347837,1266921.9,229312.0,,,0,
2330,,"1st Ave N / Denny Way",,  47.619120,-122.355368,1265068.9,229547.3,,,0,
